timestamp,heart_rate
2025-03-15 21:14:31,72
2025-03-15 21:14:32,72
2025-03-15 21:14:33,75
2025-03-15 21:14:34,75
2025-03-15 21:14:35,73
2025-03-15 21:14:36,72
2025-03-15 21:14:37,76
2025-03-15 21:14:38,73
2025-03-15 21:14:39,73
2025-03-15 21:14:40,74
2025-03-15 21:14:41,72
2025-03-15 21:14:42,76
2025-03-15 21:14:44,72
2025-03-15 21:14:45,74
2025-03-15 21:14:46,75
2025-03-15 21:14:47,76
2025-03-15 21:14:48,75
2025-03-15 21:14:49,73
2025-03-15 21:14:50,73
2025-03-15 21:14:51,77
2025-03-15 21:14:52,76
2025-03-15 21:14:53,75
2025-03-15 21:14:54,77
2025-03-15 21:14:55,74
2025-03-15 21:14:56,76
2025-03-15 21:14:57,72
2025-03-15 21:14:58,72
2025-03-15 21:14:59,75
2025-03-15 21:15:00,73
2025-03-15 21:15:01,74
2025-03-15 21:15:02,74
2025-03-15 21:15:03,74
2025-03-15 21:15:04,75
2025-03-15 21:15:05,75
2025-03-15 21:15:06,77
2025-03-15 21:15:07,74
2025-03-15 21:15:08,73
2025-03-15 21:15:09,74
2025-03-15 21:15:10,74
2025-03-15 21:15:11,76
2025-03-15 21:15:12,73
2025-03-15 21:15:13,73
2025-03-15 21:15:14,75
2025-03-15 21:15:15,72
2025-03-15 21:15:17,73
2025-03-15 21:15:18,74
2025-03-15 21:15:19,72
2025-03-15 21:15:20,75
2025-03-15 21:15:21,73
2025-03-15 21:15:22,73
2025-03-15 21:15:23,74
2025-03-15 21:15:24,73
2025-03-15 21:15:25,74
2025-03-15 21:15:26,72
2025-03-15 21:15:27,71
2025-03-15 21:15:28,71
2025-03-15 21:15:29,73
2025-03-15 21:15:30,73
2025-03-15 21:15:31,74
2025-03-15 21:15:32,72
2025-03-15 21:15:33,72
2025-03-15 21:15:34,72
2025-03-15 21:15:35,75
2025-03-15 21:15:36,74
2025-03-15 21:15:37,73
2025-03-15 21:15:38,72
2025-03-15 21:15:39,73
2025-03-15 21:15:40,73
2025-03-15 21:15:41,74
2025-03-15 23:20:01,71
2025-03-15 23:20:02,74
2025-03-15 23:20:03,73
2025-03-15 23:21:30,72
2025-03-15 23:21:31,72
2025-03-15 23:21:32,69
2025-03-15 23:21:33,70
2025-03-15 23:21:34,69
2025-03-15 23:21:35,72
2025-03-15 23:21:36,70
2025-03-15 23:21:37,70
2025-03-15 23:21:38,69
2025-03-15 23:21:39,71
2025-03-15 23:25:24,69
2025-03-15 23:25:25,68
2025-03-15 23:25:26,69
2025-03-15 23:25:27,72
2025-03-15 23:25:28,70
2025-03-15 23:25:34,73
2025-03-15 23:25:35,71
2025-03-15 23:25:36,69
2025-03-15 23:25:37,68
2025-03-15 23:33:11,73
2025-03-15 23:33:12,72
2025-03-15 23:33:13,76
2025-03-15 23:33:14,75
2025-03-15 23:33:15,74
2025-03-15 23:36:46,74
2025-03-15 23:36:47,73
2025-03-15 23:36:48,74
2025-03-15 23:36:49,71
2025-03-15 23:36:50,72
2025-03-15 23:36:51,74
2025-03-15 23:36:52,73
2025-03-15 23:38:54,74
2025-03-15 23:38:55,75
2025-03-15 23:38:56,72
2025-03-15 23:38:57,72
2025-03-15 23:38:58,76
2025-03-15 23:38:59,76
2025-03-15 23:39:00,74
2025-03-15 23:39:01,76
2025-03-15 23:39:02,74
2025-03-15 23:39:03,72
2025-03-15 23:39:04,73
2025-03-15 23:39:05,74
2025-03-15 23:39:06,76
2025-03-15 23:39:07,76
2025-03-15 23:39:08,72
2025-03-15 23:39:09,77
2025-03-15 23:39:10,74
2025-03-15 23:39:11,75
2025-03-15 23:39:12,75
2025-03-15 23:39:13,74
2025-03-15 23:39:14,72
2025-03-15 23:39:15,74
2025-03-15 23:39:17,75
2025-03-15 23:39:18,74
2025-03-15 23:39:19,77
2025-03-15 23:39:20,75
2025-03-15 23:39:21,76
2025-03-15 23:39:22,72
2025-03-15 23:39:23,75
2025-03-15 23:39:24,77
